n,replicate,variant,label,nrmse,calibrated_nrmse,norm_ratio,cosine,scale
240,0,ot,oracle rows + true directions,0.2257311333862554,0.2193774453497518,1.028819770280913,0.9756400650197882,0.9483099889822252
240,0,oo,oracle rows + oracle-fit directions,0.2247232642987218,0.2184208395345209,1.028702398129867,0.9758546699468292,0.94862680569316
240,0,ft,RFD rows + true directions,0.5229523415207167,0.4984951811379278,1.024948491255165,0.8668924699074647,0.8457912541984008
240,0,of,oracle rows + RFD directions,0.2227909526426192,0.2172927836835587,1.0252964589178355,0.9761064727574804,0.9520236457148468
240,0,ff,complete RFD,0.5236190158936052,0.4994906032316988,1.0234371299579268,0.8663193044618326,0.8464802371372308
240,0,fixed,fixed-centre comparator,0.3417134461062528,,,,
240,4,ot,oracle rows + true directions,0.2924241891322169,0.2827115372898305,1.0339451467745124,0.9592049763649172,0.9277136019809618
240,4,oo,oracle rows + oracle-fit directions,0.2919791546686117,0.2823843046202888,1.033537009576201,0.959301362713572,0.928173208917725
240,4,ft,RFD rows + true directions,1.1662295837716752,0.8296215038452818,1.3779722358452944,0.558326213210067,0.4051795810440047
240,4,of,oracle rows + RFD directions,0.2920583463287888,0.2826692044280495,1.0326762743281686,0.9592174523370672,0.9288655856464876
240,4,ff,complete RFD,1.1678676805468784,0.8303436833782717,1.378497189835931,0.5572516195344833,0.4042457421337271
240,4,fixed,fixed-centre comparator,0.5226826974439844,,,,
240,3,ot,oracle rows + true directions,0.2774198633148259,0.2697507449135586,1.027709161572547,0.9629301821100944,0.9369675956149583
240,3,oo,oracle rows + oracle-fit directions,0.2773889410660076,0.2698308008225454,1.027219209436273,0.962907752034152,0.9373926647678104
240,3,ft,RFD rows + true directions,1.155886325813728,0.8172335336005236,1.3937432194756296,0.5763066471582657,0.4134955701345693
240,3,of,oracle rows + RFD directions,0.2761449009952487,0.2693622294996233,1.0238665241439682,0.963038934477206,0.9405903130609542
240,3,ff,complete RFD,1.1605394272045857,0.8191948788002849,1.3955684872785854,0.573515257466954,0.4109545770736998
240,3,fixed,fixed-centre comparator,0.3910049406982011,,,,
240,7,ot,oracle rows + true directions,0.2758627800727866,0.2700205346190705,1.0193274272383634,0.9628545637239464,0.94459791622853
240,7,oo,oracle rows + oracle-fit directions,0.2785410637088761,0.2727609643726091,1.0185316395388329,0.9620818345206006,0.9445772690539184
240,7,ft,RFD rows + true directions,1.1733705741478253,0.8311497283265143,1.384292982905353,0.5560486751200485,0.4016842402487759
240,7,of,oracle rows + RFD directions,0.2829055587830571,0.2785096499603725,1.010111696300452,0.9604334307378888,0.9508190373950618
240,7,ff,complete RFD,1.1891769006683837,0.8386114931273544,1.3878625223683716,0.5447299914588045,0.392495641808404
240,7,fixed,fixed-centre comparator,0.3717211133878526,,,,
240,1,ot,oracle rows + true directions,0.2789608249963523,0.2675697838549761,1.04244065571357,0.9635384843210992,0.9243101552495948
240,1,oo,oracle rows + oracle-fit directions,0.2808731668307621,0.2693846458306965,1.0425414590523678,0.9630326643425288,0.9237356039709832
240,1,ft,RFD rows + true directions,1.005488569381523,0.7161276705024894,1.4037797835387813,0.6979693113172509,0.4972071257200638
240,1,of,oracle rows + RFD directions,0.280106007763352,0.2691375108905778,1.0407186127198702,0.9631017600604952,0.9254199437670024
240,1,ff,complete RFD,1.009757398238526,0.7181773910953232,1.4056707743951529,0.6958600684904365,0.4950377294355135
240,1,fixed,fixed-centre comparator,0.4300294917344243,,,,
240,6,ot,oracle rows + true directions,0.269279218050931,0.2595640552134917,1.0374043317168729,0.9657258934299772,0.9309059774521378
240,6,oo,oracle rows + oracle-fit directions,0.2684632333866026,0.2590896455705046,1.0361744220933689,0.965853278483927,0.9321338742686072
240,6,ft,RFD rows + true directions,1.2033261552933163,0.8683007626224996,1.3291332945186312,0.4960380888895386,0.3732041706691183
240,6,of,oracle rows + RFD directions,0.268741705966979,0.2594605571415188,1.0357703019962266,0.9657537052933386,0.9324014247483772
240,6,ff,complete RFD,1.2063758601907235,0.8693714472304248,1.3305418606612536,0.4941591714624722,0.3713969368967351
240,6,fixed,fixed-centre comparator,0.3835764054972428,,,,
240,2,ot,oracle rows + true directions,0.245701137392838,0.2370054158167805,1.0362963044284386,0.9715083287720776,0.9374812248393628
240,2,oo,oracle rows + oracle-fit directions,0.2464139802704963,0.2375646386963796,1.0368155411938569,0.9713717323666868,0.9368799885543636
240,2,ft,RFD rows + true directions,1.132748592919376,0.7906280380624535,1.4234851831368374,0.6122967462182985,0.4301391777531691
240,2,of,oracle rows + RFD directions,0.2470656348193266,0.239155414733503,1.0329983596032457,0.970981301366636,0.9399640302812976
240,2,ff,complete RFD,1.136817848282413,0.792812449359228,1.4242068947769582,0.609465684137361,0.4279333897149881
240,2,fixed,fixed-centre comparator,0.3204328142671059,,,,
240,5,ot,oracle rows + true directions,0.2500258040377343,0.2444446956736425,1.0221960201926208,0.9696632357458028,0.9486079153028608
240,5,oo,oracle rows + oracle-fit directions,0.2494076601243734,0.2442012998424155,1.0204188026215215,0.9697245614891244,0.9503201616805178
240,5,ft,RFD rows + true directions,1.0007899310190598,0.80241990497512,1.1948424192216256,0.5967598311714014,0.4994464722470749
240,5,of,oracle rows + RFD directions,0.2495646812250013,0.2443465320434899,1.0204551156742612,0.9696879767627936,0.9502504930087754
240,5,ff,complete RFD,1.0018219850089911,0.8033376550144545,1.194102046708848,0.5955238131560127,0.4987210387900928
240,5,fixed,fixed-centre comparator,0.3587754561928745,,,,
240,8,ot,oracle rows + true directions,0.2931410636975789,0.2853838304092317,1.0254039983526495,0.9584133082031752,0.9346689790003768
240,8,oo,oracle rows + oracle-fit directions,0.2929082552179902,0.2852406949579987,1.025036634866843,0.9584559175777873,0.9350455242044058
240,8,ft,RFD rows + true directions,0.7049469228643035,0.6180380701159436,1.1252338632686378,0.7861481691687389,0.6986531376553979
240,8,of,oracle rows + RFD directions,0.2941610328982701,0.2864320823723418,1.0250884245982537,0.9581005491011076,0.9346516125929336
240,8,ff,complete RFD,0.7065143094236038,0.6190678216947063,1.1258041214278718,0.7853375275269682,0.6975791903576569
240,8,fixed,fixed-centre comparator,0.4371954302212204,,,,
240,12,ot,oracle rows + true directions,0.3019643021435672,0.2879429656034284,1.0485941831929515,0.9576475596791876,0.913268044996365
240,12,oo,oracle rows + oracle-fit directions,0.3000099011278232,0.2864868655516919,1.0471415478745028,0.9580841695103656,0.9149519197811352
240,12,ft,RFD rows + true directions,0.7098601171089762,0.6192189116857255,1.1323053155033038,0.785218402363792,0.6934687946905614
240,12,of,oracle rows + RFD directions,0.3008269688592271,0.287333367666611,1.0469171210301758,0.9578306404711452,0.914905890094367
240,12,ff,complete RFD,0.7099671036790579,0.6195648316652053,1.1316336876443076,0.7849454881478496,0.6936392020830081
240,12,fixed,fixed-centre comparator,0.431366107837161,,,,
240,10,ot,oracle rows + true directions,0.2822060658944496,0.273284325307652,1.0323317478068632,0.96193330202314,0.9318063733549984
240,10,oo,oracle rows + oracle-fit directions,0.2832932903831218,0.2742688419660861,1.03258746842355,0.9616530571503332,0.9313042105948544
240,10,ft,RFD rows + true directions,0.9835580728111176,0.7402172374523629,1.3200289054403065,0.6723677872849,0.5093583818610594
240,10,of,oracle rows + RFD directions,0.2849932105977241,0.2763793347353233,1.030587058164688,0.9610486269337576,0.9325254177412556
240,10,ff,complete RFD,0.990365542350537,0.7437256773467582,1.3224696692854696,0.6684849413824562,0.505482248030413
240,10,fixed,fixed-centre comparator,0.4682522728765929,,,,
240,11,ot,oracle rows + true directions,0.2831775482661869,0.2753687331321499,1.0273809760804509,0.9613386816378476,0.9357178145398792
240,11,oo,oracle rows + oracle-fit directions,0.2841189820139534,0.2762243006258407,1.0276043378123918,0.9610931982611076,0.9352755364064774
240,11,ft,RFD rows + true directions,0.6947438765350402,0.6006340446211619,1.1486770465242704,0.799524073710119,0.6960390443330984
240,11,of,oracle rows + RFD directions,0.2843364324348145,0.2767473698510055,1.026196830053152,0.9609427107172156,0.936411692742652
240,11,ff,complete RFD,0.6975342627991444,0.6027706091339358,1.1489439284813583,0.7979145272297679,0.6944764730898825
240,11,fixed,fixed-centre comparator,0.4144118767130713,,,,
240,13,ot,oracle rows + true directions,0.3064334717416143,0.2909083136707838,1.0530516399981913,0.9567509357388791,0.9085508244785812
240,13,oo,oracle rows + oracle-fit directions,0.3070662206646146,0.2915566424792993,1.0529090954679157,0.9565535657903314,0.9084863735223376
240,13,ft,RFD rows + true directions,1.0329143764073747,0.735732937688543,1.4022608367623997,0.6772717655418588,0.4829855814169161
240,13,of,oracle rows + RFD directions,0.3039022160149306,0.2888873037510973,1.051706539885225,0.9573631107011704,0.9102949105989676
240,13,ff,complete RFD,1.0357874959100373,0.7368992335001435,1.4039004370300483,0.6760026032989083,0.4815174819155921
240,13,fixed,fixed-centre comparator,0.4838262793816066,,,,
240,9,ot,oracle rows + true directions,0.2504195939755996,0.2468558530682976,1.011149251987009,0.9690522110835532,0.9583671344059932
240,9,oo,oracle rows + oracle-fit directions,0.2494762455252702,0.2461180888181442,1.0100354798890283,0.9692398497567588,0.9596097058523608
240,9,ft,RFD rows + true directions,0.9482633654523782,0.7544066510616242,1.2309280296360303,0.6564073467245661,0.5332621655537872
240,9,of,oracle rows + RFD directions,0.2507950238130795,0.2475642383129099,1.0089974318074966,0.9688714816262004,0.9602318609380248
240,9,ff,complete RFD,0.9527577200609362,0.7566485845105086,1.2328124468510842,0.6538217796603626,0.5303497554152614
240,9,fixed,fixed-centre comparator,0.2721572785035754,,,,
240,14,ot,oracle rows + true directions,0.254086873878224,0.2457929159505615,1.0337116624453466,0.96932236251338,0.9377105799700012
240,14,oo,oracle rows + oracle-fit directions,0.2534470134878929,0.2454182279511822,1.0327045933784589,0.96941729579645,0.9387169399770304
240,14,ft,RFD rows + true directions,0.9664458675245472,0.7327208379250417,1.3107180262328584,0.6805293334386291,0.5192034593394141
240,14,of,oracle rows + RFD directions,0.2541064575157533,0.2465147637751512,1.0307877424025795,0.9691390360731952,0.9401926276444726
240,14,ff,complete RFD,0.9737957355630792,0.7363962015732858,1.3137308676760993,0.6765505408381823,0.5149841245908716
240,14,fixed,fixed-centre comparator,0.2972849668655424,,,,
240,15,ot,oracle rows + true directions,0.2751916138197468,0.2651380157407946,1.037914317187267,0.9642104711156344,0.928988506227211
240,15,oo,oracle rows + oracle-fit directions,0.2783161670781158,0.2678901667613523,1.0389130084298062,0.9634494582242368,0.9273629749620484
240,15,ft,RFD rows + true directions,0.8758765764507633,0.734279033578817,1.1563350287313665,0.6788477744285226,0.5870684166450424
240,15,of,oracle rows + RFD directions,0.2748965593997297,0.265247375186354,1.0363742175622723,0.9641803928501914,0.9303400031680708
240,15,ff,complete RFD,0.8767997678173836,0.734917744130098,1.156354691259062,0.6781562573350833,0.5864604195073515
