n,contrast,replicates,median,mean,ci_low,ci_high
240,row cost at true directions,64,0.6831520646206727,0.6753851600749716,0.6005306088279114,0.7297258409104006
240,RFD-direction cost on oracle rows,64,0.0004657379568879655,0.000659572576446749,-0.0003105774053775989,0.0011153190413274727
240,row-direction interaction,64,0.00402709574565871,0.004487391507105339,0.003037612560579772,0.004727909318529733
240,complete excess over noise floor,64,0.6890125336743455,0.6805321241585238,0.6030065641011323,0.7343287424786463
240,oracle direction-estimation cost,64,7.246504385291508e-05,0.00030295085068597323,-0.00042350972083851635,0.0005992665975668443
240,RFD scalar-calibration gain,64,0.20637128978844915,0.2329495335276041,0.17969573056652782,0.2603329812629147
512,row cost at true directions,64,0.4647071235838022,0.46625288298915085,0.4083153751580808,0.49668745039421375
512,RFD-direction cost on oracle rows,64,-1.2255998276977653e-05,5.947428114652393e-05,-0.0002122283904648914,0.00048119057147044675
512,row-direction interaction,64,0.0014833369120425266,0.0018262852177672647,0.0012681113032583346,0.001985181863932317
512,complete excess over noise floor,64,0.4668238001496279,0.4681386424880646,0.41126931265881805,0.49850995364741296
512,oracle direction-estimation cost,64,9.14780475200494e-05,1.799812751337006e-05,-0.00018884614515368714,0.00025730766839077157
512,RFD scalar-calibration gain,64,0.11193653590862035,0.12686414602836577,0.09159933404708881,0.1300244408172085
2048,row cost at true directions,64,0.20436432661079934,0.2149936732443205,0.18618318674849102,0.21723185117173302
2048,RFD-direction cost on oracle rows,64,1.8523757148419806e-05,1.971209444126239e-05,-7.084335130269626e-05,0.00014222691839654855
2048,row-direction interaction,64,0.0001500004141638811,0.00017817525883859512,8.960413104860954e-05,0.0001905170830491243
2048,complete excess over noise floor,64,0.20461116819773406,0.21519156059760036,0.18675596267600855,0.21840885618779493
2048,oracle direction-estimation cost,64,1.9216106929426102e-05,-1.169521940716338e-05,-8.431919669910082e-05,8.549393696682592e-05
2048,RFD scalar-calibration gain,64,0.038061910916648206,0.041800632507173974,0.03237611462676254,0.04206676459060363
