n,variant,label,replicates,nrmse_mean,nrmse_median,nrmse_q25,nrmse_q75,calibrated_nrmse_mean,calibrated_nrmse_median,calibrated_nrmse_q25,calibrated_nrmse_q75,norm_ratio_mean,norm_ratio_median,norm_ratio_q25,norm_ratio_q75,cosine_mean,cosine_median,cosine_q25,cosine_q75,scale_mean,scale_median,scale_q25,scale_q75
240,ff,complete RFD,64,0.9567143560152576,0.9618235691324437,0.8114020255939866,1.1066222118884463,0.7237648224876535,0.7355115181622158,0.6446019856426903,0.8005529368427792,1.285802682051926,1.2434118202410303,1.163919966983812,1.3808385229690412,0.6728607850467363,0.6775116519788025,0.5992560115057631,0.7645118327784448,0.5345304108815012,0.5253585159966792,0.43822242575441,0.6156736412005439
240,fixed,fixed-centre comparator,64,0.39423250125664433,0.3985398868300388,0.345031382294953,0.4386007602743778,,,,,,,,,,,,,,,,
240,ft,RFD rows + true directions,64,0.9515673919317055,0.9546158182224593,0.7982821220757998,1.1039089718164714,0.7210083090294401,0.7334999357519294,0.6426413312961514,0.7990089694586078,1.2841863879884046,1.2409007381439634,1.1632624031363354,1.379552422610309,0.6759273550810555,0.6796885539335759,0.6013101419303739,0.7661605297495843,0.5375871754421699,0.5302389899572812,0.4432105963767311,0.617654480581173
240,of,oracle rows + RFD directions,64,0.2768418044331806,0.27606089164858516,0.26114460813554596,0.2905373427606157,0.26780085489962524,0.2681649813976228,0.253915492786794,0.2811945938459524,1.0323732239482197,1.0326762753551058,1.0257195734281335,1.0408275008786825,0.9632501820206181,0.9633724739955793,0.95965035981691,0.96722640464458,0.9332013310784278,0.9325324061598668,0.9234456956061423,0.9412086856442838
240,oo,oracle rows + oracle-fit directions,64,0.27648518270741984,0.27785255407206166,0.2619045318242893,0.2911150870531,0.26685705520005565,0.2681124298574039,0.2542105690997211,0.28145642225905154,1.034900999426113,1.034391370905675,1.0275635225188824,1.0440928250657304,0.9635181838021121,0.9633876020215774,0.9595738484510108,0.9671487146922934,0.9311714499724378,0.9320894287368187,0.921376397313542,0.9382173897979156
240,ot,oracle rows + true directions,64,0.27618223185673385,0.2755271969462667,0.26101083209217885,0.29135156967415626,0.26640698362104887,0.26622290871221443,0.25409848384586087,0.2816449164724476,1.0355539517757977,1.0353354899174636,1.028304623082291,1.0443611203640257,0.9636501868760279,0.9639108341032946,0.9595184881154538,0.9671783151682243,0.9307106963564913,0.9313487114557226,0.9215032842693469,0.9382963413853206
512,ff,complete RFD,64,0.7460998651067413,0.7468563412760099,0.6434361929223823,0.837269622614962,0.6192357190783755,0.6238077554593277,0.5763143518174545,0.6722957282358346,1.1856791905250605,1.1729071739096704,1.1162020317740269,1.2289738923296012,0.7786892018728052,0.7815768493392393,0.7402817537958134,0.8172265564917054,0.6638944538894832,0.6699745610389813,0.585982363962176,0.7339082559558636
512,fixed,fixed-centre comparator,64,0.3966990736629178,0.40288203585323534,0.38101883082594834,0.4299468480139844,,,,,,,,,,,,,,,,
512,ft,RFD rows + true directions,64,0.7442141056078275,0.7427549642337434,0.6420478283374277,0.8359616796977685,0.6179484989145336,0.6217107033258902,0.5750944190511513,0.6710312668152728,1.1852520621597362,1.172033169190562,1.115885427402682,1.2279950383479612,0.7797110271703983,0.7832466372903604,0.7414282034061515,0.8180840850766494,0.6649734547573383,0.6703062220443136,0.5899982445314527,0.735265119405941
512,of,oracle rows + RFD directions,64,0.27802069689982317,0.27925230346908914,0.2665618223289008,0.28675148075132073,0.2679456400712356,0.26978299634507635,0.25879929411829355,0.27587088202467513,1.037085024997091,1.0376832181401174,1.0315496596241291,1.0408022268909294,0.9633289530399585,0.9629211194355185,0.9611947005386067,0.965931069256421,0.9289419967980127,0.9287068034383468,0.9235042553991268,0.9361065636970672
