path,parse_status,rows,columns,status_errors,infinite_numeric_cells
results\final\b45_adjudication\bandwidth_gains.csv,ok,8,4,0,0
results\final\b45_adjudication\csv_audit.csv,ok,61,6,0,0
results\final\b45_adjudication\empirical_rates.csv,ok,15,3,0,0
results\final\b45_adjudication\n8192_comparators.csv,ok,9,5,0,0
results\final\b45_adjudication\n8192_quality.csv,ok,3,35,0,0
results\final\bw_cost_model.csv,ok,16,7,0,0
results\final\diag_day_count.csv,ok,8,12,0,0
results\final\diag_risk_gap.csv,ok,17,7,0,0
results\final\e1_convergence_surface.csv,ok,90,7,0,0
results\final\e2_boundary.csv,ok,18,6,0,0
results\final\e3_tol_accuracy.csv,ok,48,7,0,0
results\final\e5_airm_cost.csv,ok,16,10,0,0
results\final\e6_airm_convergence.csv,ok,180,8,0,0
results\final\e7_geometry_divergence.csv,ok,36,10,0,0
results\final\panel_vs_parent.csv,ok,12,9,0,0
results\final\parent_bw_reference.csv,ok,18,8,0,0
results\final\parent_inputs.csv,ok,16,2,0,0
results\final\parent_reproduce.csv,ok,57,8,0,0
results\final\rc_panel_summary.csv,ok,26,3,0,0
results\intermediate\b45_comparators\raw.csv,ok,384,33,0,0
results\intermediate\b45_comparators\summary.csv,ok,12,42,0,0
results\intermediate\b45_comparators_8192\raw.csv,ok,96,33,0,0
results\intermediate\b45_comparators_8192\summary.csv,ok,3,42,0,0
results\intermediate\centre_bandwidth_boundary_n4096\local_slopes.csv,ok,0,6,0,0
results\intermediate\centre_bandwidth_boundary_n4096\raw.csv,ok,96,32,0,0
results\intermediate\centre_bandwidth_boundary_n4096\slopes.csv,ok,0,11,0,0
results\intermediate\centre_bandwidth_boundary_n4096\summary.csv,ok,3,82,0,0
results\intermediate\centre_bandwidth_boundary_n8192\raw.csv,ok,21,32,0,0
results\intermediate\centre_bandwidth_tuning\candidate_scores.csv,ok,5,3,0,0
results\intermediate\centre_bandwidth_tuning\local_slopes.csv,ok,5,6,0,0
results\intermediate\centre_bandwidth_tuning\raw.csv,ok,320,32,0,0
results\intermediate\centre_bandwidth_tuning\slopes.csv,ok,10,11,0,0
results\intermediate\centre_bandwidth_tuning\summary.csv,ok,10,82,0,0
results\intermediate\centre_bandwidth_validation\local_slopes.csv,ok,2,6,0,0
results\intermediate\centre_bandwidth_validation\raw.csv,ok,256,32,0,0
results\intermediate\centre_bandwidth_validation\slopes.csv,ok,4,11,0,0
results\intermediate\centre_bandwidth_validation\summary.csv,ok,4,82,0,0
results\intermediate\centre_bandwidth_validation\validation_contrasts.csv,ok,2,9,0,0
results\intermediate\centre_rate\local_slopes.csv,ok,45,6,0,0
results\intermediate\centre_rate\raw.csv,ok,3456,32,0,0
results\intermediate\centre_rate\slopes.csv,ok,18,11,0,0
results\intermediate\centre_rate\summary.csv,ok,54,82,0,0
results\intermediate\end_to_end_factor_baseline\paired_contrasts.csv,ok,12,12,0,0
results\intermediate\end_to_end_factor_baseline\raw.csv,ok,768,43,0,0
results\intermediate\end_to_end_factor_baseline\summary.csv,ok,24,50,0,0
results\intermediate\end_to_end_factor_baseline_8192\paired_contrasts.csv,ok,15,12,0,0
results\intermediate\end_to_end_factor_baseline_8192\raw.csv,ok,192,43,0,0
results\intermediate\end_to_end_factor_baseline_8192\summary.csv,ok,30,50,0,0
results\intermediate\local_stationarity_discrepancy\local_slopes.csv,ok,30,6,0,5
results\intermediate\local_stationarity_discrepancy\raw.csv,ok,2304,32,0,768
results\intermediate\local_stationarity_discrepancy\slopes.csv,ok,17,11,0,2
results\intermediate\local_stationarity_discrepancy\summary.csv,ok,36,82,0,6
results\intermediate\rank_sweep_feasible\raw.csv,ok,7392,26,0,0
results\intermediate\rank_sweep_feasible\summary.csv,ok,462,17,0,0
results\intermediate\rank_sweep_oracle\raw.csv,ok,111552,26,0,0
results\intermediate\rank_sweep_oracle\summary.csv,ok,1743,17,0,0
results\raw\parent_run\bws_errors_squared.csv,ok,144,3,0,0
results\raw\parent_run\euc_errors.csv,ok,144,3,0,0
results\raw\parent_run\fvu_by_factor.csv,ok,15,8,0,0
results\raw\parent_run\risk_error.csv,ok,144,3,0,0
results\raw\parent_run\summary.csv,ok,4,7,0,0
