matrix_size,metric,empirical_exponent
2,centre path,0.4377763882611266
2,lag row,0.8042463241329195
2,lag operator,0.8926815639986369
2,loading projector,0.6391344713351458
2,first null eigenvalue,1.0964669521858248
3,centre path,0.48197843107695504
3,lag row,1.08013896573697
3,lag operator,1.2280757789677443
3,loading projector,0.6699615518323598
3,first null eigenvalue,1.0646716040006825
4,centre path,0.4654383034826322
4,lag row,0.9847496476944836
4,lag operator,1.0570702832947112
4,loading projector,0.6025388744812868
4,first null eigenvalue,1.1261074512824236
