matrix_size,metric,median_error_reduction_percent,rfd_win_percent
2,loading projector,93.064078885794,100.0
2,factor scores,12.503742771900926,93.75
2,observation reconstruction,9.930698883692095,93.75
2,latent-signal reconstruction,5.533914369151601,90.625
3,loading projector,96.21032619087873,100.0
3,factor scores,8.710851738187468,84.375
3,observation reconstruction,20.82343179075306,100.0
3,latent-signal reconstruction,32.6116311861103,100.0
4,loading projector,94.56526985526828,100.0
4,factor scores,5.655455173420584,68.75
4,observation reconstruction,19.895563485059846,100.0
4,latent-signal reconstruction,42.940284221779336,100.0
