m,cond,N,seconds,iters,ms_per_iter,converged
3,10,100,0.003111,11,0.282855,1
3,10,1000,0.023814,10,2.381380,1
3,10,10000,0.274033,10,27.403280,1
3,10,50000,1.751035,10,175.103490,1
3,1000,100,0.036555,33,1.107742,1
3,1000,1000,0.123976,27,4.591707,1
3,1000,10000,0.611894,25,24.475760,1
3,1000,50000,2.596396,25,103.855848,1
12,10,100,0.014862,10,1.486180,1
12,10,1000,0.149159,9,16.573222,1
12,10,10000,1.427736,9,158.637367,1
12,10,50000,6.232812,8,779.101513,1
12,1000,100,0.034725,26,1.335581,1
12,1000,1000,0.331923,23,14.431435,1
12,1000,10000,2.995356,21,142.636005,1
12,1000,50000,14.848594,21,707.075910,1
