diagnostic,item,value,theirs,range,swing,covers
D1 sensitivity,LOCF BW,2.679,2.66,2.669..2.695,1.0%,no
D1 sensitivity,EWMA BW,2.360,2.36,2.357..2.371,0.6%,YES
D1 sensitivity,LOCF Frob,12.814,12.51,12.710..13.022,2.4%,no
D1 sensitivity,EWMA Frob,12.041,11.97,11.989..12.185,1.6%,no
D1 sensitivity,LOCF risk,1.990,2.61,1.949..2.043,4.8%,no
D1 sensitivity,EWMA risk,1.237,1.45,1.211..1.282,5.7%,no
D2 amplifier,kappa median,3.906e+02,,,,
D2 amplifier,kappa max,1.430e+03,,,,
D2 amplifier,gross leverage median,3.12,,,,
D2 amplifier,gross leverage max,9.32,,,,
D2 amplifier,corr(log kappa, risk err),+0.169,,,,
D3 shrinkage,alpha=0.00,1.990,23.7%,1.237,14.7%,
D3 shrinkage,alpha=0.01,1.385,46.9%,0.970,33.1%,
D3 shrinkage,alpha=0.05,0.833,68.1%,0.755,47.9%,
D3 shrinkage,alpha=0.10,0.684,73.8%,0.711,50.9%,
D3 shrinkage,alpha=0.20,0.660,74.7%,0.711,51.0%,
D3 shrinkage,alpha=0.50,0.646,75.3%,0.734,49.4%,
