m,shape,cond,delta,iters,residual,converged
3,geom,10,0.0,1,1.928e-15,1
3,geom,10,0.1,4,7.970e-16,1
3,geom,10,0.5,5,3.793e-13,1
3,geom,10,1.0,7,6.955e-14,1
3,geom,10,2.0,10,2.564e-13,1
3,geom,1000,0.0,1,3.001e-14,1
3,geom,1000,0.1,3,1.332e-14,1
3,geom,1000,0.5,4,1.285e-13,1
3,geom,1000,1.0,5,6.951e-14,1
3,geom,1000,2.0,6,3.358e-13,1
3,geom,100000,0.0,1,9.679e-13,1
3,geom,100000,0.1,3,8.377e-14,1
3,geom,100000,0.5,3,6.878e-13,1
3,geom,100000,1.0,4,1.384e-14,1
3,geom,100000,2.0,4,5.573e-13,1
3,linear,10,0.0,1,7.331e-16,1
3,linear,10,0.1,4,1.714e-15,1
3,linear,10,0.5,5,8.426e-13,1
3,linear,10,1.0,7,3.073e-13,1
3,linear,10,2.0,10,9.408e-13,1
3,linear,1000,0.0,1,1.382e-14,1
3,linear,1000,0.1,4,3.311e-15,1
3,linear,1000,0.5,6,6.298e-15,1
3,linear,1000,1.0,7,3.537e-13,1
3,linear,1000,2.0,10,8.391e-13,1
3,linear,100000,0.0,3,4.412e-13,1
3,linear,100000,0.1,4,3.826e-13,1
3,linear,100000,0.5,6,1.141e-13,1
3,linear,100000,1.0,7,4.820e-13,1
3,linear,100000,2.0,11,6.090e-13,1
3,dominant,10,0.0,1,1.928e-15,1
3,dominant,10,0.1,4,7.970e-16,1
3,dominant,10,0.5,5,3.793e-13,1
3,dominant,10,1.0,7,6.955e-14,1
3,dominant,10,2.0,10,2.564e-13,1
3,dominant,1000,0.0,1,3.001e-14,1
3,dominant,1000,0.1,3,1.332e-14,1
3,dominant,1000,0.5,4,1.285e-13,1
3,dominant,1000,1.0,5,6.951e-14,1
3,dominant,1000,2.0,6,3.358e-13,1
3,dominant,100000,0.0,1,9.679e-13,1
3,dominant,100000,0.1,3,8.377e-14,1
3,dominant,100000,0.5,3,6.878e-13,1
3,dominant,100000,1.0,4,1.384e-14,1
3,dominant,100000,2.0,4,5.573e-13,1
12,geom,10,0.0,1,1.455e-15,1
12,geom,10,0.1,3,1.126e-13,1
12,geom,10,0.5,5,6.727e-15,1
12,geom,10,1.0,6,5.091e-14,1
12,geom,10,2.0,8,2.063e-13,1
12,geom,1000,0.0,1,3.032e-14,1
12,geom,1000,0.1,3,6.970e-15,1
12,geom,1000,0.5,4,5.135e-14,1
12,geom,1000,1.0,5,4.226e-14,1
12,geom,1000,2.0,6,5.394e-13,1
12,geom,100000,0.0,23,6.683e-13,1
12,geom,100000,0.1,3,5.621e-13,1
12,geom,100000,0.5,4,4.787e-13,1
12,geom,100000,1.0,5,5.901e-13,1
12,geom,100000,2.0,6,6.612e-13,1
12,linear,10,0.0,1,1.393e-15,1
12,linear,10,0.1,3,1.503e-13,1
12,linear,10,0.5,5,9.787e-15,1
12,linear,10,1.0,6,8.149e-14,1
12,linear,10,2.0,8,3.413e-13,1
12,linear,1000,0.0,1,2.367e-14,1
12,linear,1000,0.1,3,1.081e-13,1
12,linear,1000,0.5,5,1.073e-14,1
12,linear,1000,1.0,6,4.113e-14,1
12,linear,1000,2.0,8,1.420e-13,1
12,linear,100000,0.0,14,4.317e-13,1
12,linear,100000,0.1,3,2.899e-13,1
12,linear,100000,0.5,5,5.013e-13,1
12,linear,100000,1.0,6,4.192e-14,1
12,linear,100000,2.0,8,1.410e-13,1
12,dominant,10,0.0,1,1.653e-15,1
12,dominant,10,0.1,3,1.103e-13,1
12,dominant,10,0.5,5,8.791e-15,1
12,dominant,10,1.0,6,7.890e-14,1
12,dominant,10,2.0,8,3.670e-13,1
12,dominant,1000,0.0,1,3.373e-14,1
12,dominant,1000,0.1,3,1.057e-14,1
12,dominant,1000,0.5,4,2.838e-14,1
12,dominant,1000,1.0,5,3.747e-14,1
12,dominant,1000,2.0,6,7.724e-13,1
12,dominant,100000,0.0,500,3.165e-12,0
12,dominant,100000,0.1,3,5.912e-13,1
12,dominant,100000,0.5,3,8.094e-13,1
12,dominant,100000,1.0,5,5.351e-13,1
12,dominant,100000,2.0,10,8.352e-13,1
