m,cond,tol,iters,residual,err_vs_ref,converged
3,10,1e-06,4,2.553e-08,5.185e-08,1
3,10,1e-08,5,3.336e-10,6.784e-10,1
3,10,1e-10,6,4.476e-12,9.120e-12,1
3,10,1e-11,6,4.476e-12,9.120e-12,1
3,10,1e-12,7,6.955e-14,1.420e-13,1
3,10,1e-13,7,6.955e-14,1.420e-13,1
3,10,1e-14,8,1.884e-15,3.032e-15,1
3,10,1e-15,9,8.263e-16,2.709e-15,1
3,1000,1e-06,3,1.046e-08,2.114e-08,1
3,1000,1e-08,4,2.681e-11,5.428e-11,1
3,1000,1e-10,4,2.681e-11,5.428e-11,1
3,1000,1e-11,5,6.951e-14,1.409e-13,1
3,1000,1e-12,5,6.951e-14,1.409e-13,1
3,1000,1e-13,5,6.951e-14,1.409e-13,1
3,1000,1e-14,6,3.491e-15,8.329e-15,1
3,1000,1e-15,15,5.787e-16,7.680e-15,1
3,100000,1e-06,2,4.893e-08,1.014e-07,1
3,100000,1e-08,3,1.285e-11,2.716e-11,1
3,100000,1e-10,3,1.285e-11,2.716e-11,1
3,100000,1e-11,4,1.384e-14,1.235e-12,1
3,100000,1e-12,4,1.384e-14,1.235e-12,1
3,100000,1e-13,4,1.384e-14,1.235e-12,1
3,100000,1e-14,88,8.649e-15,6.375e-13,1
3,100000,1e-15,500,4.474e-13,1.377e-12,0
12,10,1e-06,3,1.084e-07,2.208e-07,1
12,10,1e-08,4,7.500e-10,1.537e-09,1
12,10,1e-10,5,5.926e-12,1.217e-11,1
12,10,1e-11,5,5.926e-12,1.217e-11,1
12,10,1e-12,6,5.091e-14,1.049e-13,1
12,10,1e-13,6,5.091e-14,1.049e-13,1
12,10,1e-14,7,2.059e-15,8.831e-15,1
12,10,1e-15,500,1.808e-15,5.589e-15,0
12,1000,1e-06,3,4.974e-09,1.022e-08,1
12,1000,1e-08,3,4.974e-09,1.022e-08,1
12,1000,1e-10,4,1.240e-11,2.602e-11,1
12,1000,1e-11,5,4.226e-14,9.153e-14,1
12,1000,1e-12,5,4.226e-14,9.153e-14,1
12,1000,1e-13,5,4.226e-14,9.153e-14,1
12,1000,1e-14,6,6.862e-15,2.596e-14,1
12,1000,1e-15,500,8.350e-15,3.076e-14,0
12,100000,1e-06,3,1.283e-09,2.675e-09,1
12,100000,1e-08,3,1.283e-09,2.675e-09,1
12,100000,1e-10,4,2.270e-12,4.856e-12,1
12,100000,1e-11,4,2.270e-12,4.856e-12,1
12,100000,1e-12,5,5.901e-13,1.734e-12,1
12,100000,1e-13,500,1.016e-12,1.250e-12,0
12,100000,1e-14,500,1.016e-12,1.250e-12,0
12,100000,1e-15,500,1.016e-12,1.250e-12,0
