m,cond,N,bw_seconds,bw_iters,bw_converged,airm_seconds,airm_iters,airm_converged,ratio
3,10,100,0.0025,10,1,0.0031,12,1,1.27
3,10,1000,0.0147,9,1,0.0201,12,1,1.37
3,10,10000,0.1539,9,1,0.1884,11,1,1.22
3,10,50000,0.7364,9,1,0.9209,11,1,1.25
3,1000,100,0.0074,30,1,0.1042,401,1,14.13
3,1000,1000,0.0389,24,1,0.2319,138,1,5.96
3,1000,10000,0.3869,23,1,2.0199,120,1,5.22
3,1000,50000,1.8751,23,1,8.9612,111,1,4.78
12,10,100,0.0126,9,1,0.0162,11,1,1.29
12,10,1000,0.1189,8,1,0.1494,10,1,1.26
12,10,10000,1.1824,8,1,1.3399,9,1,1.13
12,10,50000,5.1566,7,1,6.6457,9,1,1.29
12,1000,100,0.0307,24,1,0.0832,64,1,2.71
12,1000,1000,0.2838,21,1,0.6348,47,1,2.24
12,1000,10000,2.5476,19,1,5.5037,41,1,2.16
12,1000,50000,12.7268,19,1,26.1467,39,1,2.05
