m,shape,cond,delta,step,iters,residual,converged
3,geom,10,0.0,1.0,1,6.030e-15,1
3,geom,10,0.0,0.5,1,6.030e-15,1
3,geom,10,0.1,1.0,4,1.803e-14,1
3,geom,10,0.1,0.5,30,5.382e-12,1
3,geom,10,0.5,1.0,6,8.099e-13,1
3,geom,10,0.5,0.5,34,8.373e-12,1
3,geom,10,1.0,1.0,8,5.687e-12,1
3,geom,10,1.0,0.5,36,8.220e-12,1
3,geom,10,2.0,1.0,14,5.429e-12,1
3,geom,10,2.0,0.5,38,7.633e-12,1
3,geom,1000,0.0,1.0,1,8.702e-14,1
3,geom,1000,0.0,0.5,1,8.702e-14,1
3,geom,1000,0.1,1.0,4,7.673e-14,1
3,geom,1000,0.1,0.5,30,5.408e-12,1
3,geom,1000,0.5,1.0,6,8.007e-13,1
3,geom,1000,0.5,0.5,34,8.314e-12,1
3,geom,1000,1.0,1.0,8,5.661e-12,1
3,geom,1000,1.0,0.5,36,8.240e-12,1
3,geom,1000,2.0,1.0,14,5.448e-12,1
3,geom,1000,2.0,0.5,38,7.589e-12,1
3,geom,100000,0.0,1.0,1,1.420e-12,1
3,geom,100000,0.0,0.5,1,1.420e-12,1
3,geom,100000,0.1,1.0,4,7.946e-13,1
3,geom,100000,0.1,0.5,29,8.616e-12,1
3,geom,100000,0.5,1.0,6,1.858e-12,1
3,geom,100000,0.5,0.5,34,8.142e-12,1
3,geom,100000,1.0,1.0,9,6.660e-12,1
3,geom,100000,1.0,0.5,37,4.986e-12,1
3,geom,100000,2.0,1.0,14,5.578e-12,1
3,geom,100000,2.0,0.5,39,9.846e-12,1
3,linear,10,0.0,1.0,1,6.725e-15,1
3,linear,10,0.0,0.5,1,6.725e-15,1
3,linear,10,0.1,1.0,4,1.813e-14,1
3,linear,10,0.1,0.5,30,5.383e-12,1
3,linear,10,0.5,1.0,6,8.102e-13,1
3,linear,10,0.5,0.5,34,8.374e-12,1
3,linear,10,1.0,1.0,8,5.688e-12,1
3,linear,10,1.0,0.5,36,8.217e-12,1
3,linear,10,2.0,1.0,14,5.431e-12,1
3,linear,10,2.0,0.5,38,7.633e-12,1
3,linear,1000,0.0,1.0,1,2.572e-13,1
3,linear,1000,0.0,0.5,1,2.572e-13,1
3,linear,1000,0.1,1.0,4,5.558e-14,1
3,linear,1000,0.1,0.5,30,5.438e-12,1
3,linear,1000,0.5,1.0,6,8.110e-13,1
3,linear,1000,0.5,0.5,34,8.372e-12,1
3,linear,1000,1.0,1.0,8,5.676e-12,1
3,linear,1000,1.0,0.5,36,8.175e-12,1
3,linear,1000,2.0,1.0,14,5.437e-12,1
3,linear,1000,2.0,0.5,38,7.635e-12,1
3,linear,100000,0.0,1.0,1,2.321e-12,1
3,linear,100000,0.0,0.5,1,2.321e-12,1
3,linear,100000,0.1,1.0,4,4.796e-12,1
3,linear,100000,0.1,0.5,30,7.362e-12,1
3,linear,100000,0.5,1.0,6,9.390e-12,1
3,linear,100000,0.5,0.5,36,6.491e-12,1
3,linear,100000,1.0,1.0,8,9.157e-12,1
3,linear,100000,1.0,0.5,37,5.045e-12,1
3,linear,100000,2.0,1.0,14,5.536e-12,1
3,linear,100000,2.0,0.5,39,9.472e-12,1
3,dominant,10,0.0,1.0,1,6.030e-15,1
3,dominant,10,0.0,0.5,1,6.030e-15,1
3,dominant,10,0.1,1.0,4,1.803e-14,1
3,dominant,10,0.1,0.5,30,5.382e-12,1
3,dominant,10,0.5,1.0,6,8.099e-13,1
3,dominant,10,0.5,0.5,34,8.373e-12,1
3,dominant,10,1.0,1.0,8,5.687e-12,1
3,dominant,10,1.0,0.5,36,8.220e-12,1
3,dominant,10,2.0,1.0,14,5.429e-12,1
3,dominant,10,2.0,0.5,38,7.633e-12,1
3,dominant,1000,0.0,1.0,1,8.702e-14,1
3,dominant,1000,0.0,0.5,1,8.702e-14,1
3,dominant,1000,0.1,1.0,4,7.673e-14,1
3,dominant,1000,0.1,0.5,30,5.408e-12,1
3,dominant,1000,0.5,1.0,6,8.007e-13,1
3,dominant,1000,0.5,0.5,34,8.314e-12,1
3,dominant,1000,1.0,1.0,8,5.661e-12,1
3,dominant,1000,1.0,0.5,36,8.240e-12,1
3,dominant,1000,2.0,1.0,14,5.448e-12,1
3,dominant,1000,2.0,0.5,38,7.589e-12,1
3,dominant,100000,0.0,1.0,1,1.420e-12,1
3,dominant,100000,0.0,0.5,1,1.420e-12,1
3,dominant,100000,0.1,1.0,4,7.946e-13,1
3,dominant,100000,0.1,0.5,29,8.616e-12,1
3,dominant,100000,0.5,1.0,6,1.858e-12,1
3,dominant,100000,0.5,0.5,34,8.142e-12,1
3,dominant,100000,1.0,1.0,9,6.660e-12,1
3,dominant,100000,1.0,0.5,37,4.986e-12,1
3,dominant,100000,2.0,1.0,14,5.578e-12,1
3,dominant,100000,2.0,0.5,39,9.846e-12,1
12,geom,10,0.0,1.0,1,1.996e-14,1
12,geom,10,0.0,0.5,1,1.996e-14,1
12,geom,10,0.1,1.0,3,1.805e-12,1
12,geom,10,0.1,0.5,29,5.365e-12,1
12,geom,10,0.5,1.0,5,3.207e-13,1
12,geom,10,0.5,0.5,33,8.362e-12,1
12,geom,10,1.0,1.0,6,4.390e-12,1
12,geom,10,1.0,0.5,35,8.323e-12,1
12,geom,10,2.0,1.0,9,2.706e-12,1
12,geom,10,2.0,0.5,37,8.159e-12,1
12,geom,1000,0.0,1.0,1,5.162e-13,1
12,geom,1000,0.0,0.5,1,5.162e-13,1
12,geom,1000,0.1,1.0,3,1.806e-12,1
12,geom,1000,0.1,0.5,29,5.397e-12,1
12,geom,1000,0.5,1.0,5,3.197e-13,1
12,geom,1000,0.5,0.5,33,8.368e-12,1
12,geom,1000,1.0,1.0,6,4.386e-12,1
12,geom,1000,1.0,0.5,35,8.330e-12,1
12,geom,1000,2.0,1.0,9,2.695e-12,1
12,geom,1000,2.0,0.5,37,8.109e-12,1
12,geom,100000,0.0,1.0,2,2.618e-12,1
12,geom,100000,0.0,0.5,3,6.223e-12,1
12,geom,100000,0.1,1.0,3,5.293e-12,1
12,geom,100000,0.1,0.5,30,7.053e-12,1
12,geom,100000,0.5,1.0,5,4.378e-12,1
12,geom,100000,0.5,0.5,34,7.146e-12,1
12,geom,100000,1.0,1.0,6,5.819e-12,1
