m,cond,delta,spread,d_bw_airm,d_bw_airm_rel,d_airm_frob,d_airm_frob_rel,d_bw_frob,converged
3,10,0.05,4.9916e-02,3.4141e-04,0.0068,7.2212e-04,0.0145,3.3954e-04,1
3,10,0.1,9.9831e-02,1.3659e-03,0.0137,2.8898e-03,0.0289,1.3596e-03,1
3,10,0.25,2.4958e-01,8.5371e-03,0.0342,1.8068e-02,0.0724,8.5268e-03,1
3,10,0.5,4.9916e-01,3.4096e-02,0.0683,7.2064e-02,0.1444,3.4322e-02,1
3,10,1.0,9.9837e-01,1.3516e-01,0.1354,2.8309e-01,0.2836,1.3936e-01,1
3,10,2.0,1.9970e+00,5.1994e-01,0.2604,1.0507e+00,0.5261,5.8254e-01,1
3,1000,0.05,4.9916e-02,3.3269e-04,0.0067,7.2212e-04,0.0145,1.7545e-03,1
3,1000,0.1,9.9831e-02,1.3308e-03,0.0133,2.8898e-03,0.0289,7.0302e-03,1
3,1000,0.25,2.4958e-01,8.3140e-03,0.0333,1.8068e-02,0.0724,4.4170e-02,1
3,1000,0.5,4.9916e-01,3.3171e-02,0.0665,7.2064e-02,0.1444,1.7830e-01,1
3,1000,1.0,9.9837e-01,1.3111e-01,0.1313,2.8309e-01,0.2836,7.2748e-01,1
3,1000,2.0,1.9970e+00,5.0007e-01,0.2504,1.0507e+00,0.5261,3.0673e+00,1
3,100000,0.05,4.9916e-02,3.3240e-04,0.0067,7.2212e-04,0.0145,1.5264e-02,1
3,100000,0.1,9.9831e-02,1.3296e-03,0.0133,2.8898e-03,0.0289,6.1135e-02,1
3,100000,0.25,2.4958e-01,8.3056e-03,0.0333,1.8068e-02,0.0724,3.8456e-01,1
3,100000,0.5,4.9916e-01,3.3135e-02,0.0664,7.2064e-02,0.1444,1.5547e+00,1
3,100000,1.0,9.9837e-01,1.3096e-01,0.1312,2.8309e-01,0.2836,6.3591e+00,1
3,100000,2.0,1.9970e+00,4.9955e-01,0.2501,1.0507e+00,0.5261,2.6905e+01,1
12,10,0.05,4.9861e-02,1.8037e-04,0.0036,3.5987e-04,0.0072,1.6950e-04,1
12,10,0.1,9.9722e-02,7.2149e-04,0.0072,1.4395e-03,0.0144,6.7813e-04,1
12,10,0.25,2.4930e-01,4.5090e-03,0.0181,8.9953e-03,0.0361,4.2410e-03,1
12,10,0.5,4.9861e-01,1.8026e-02,0.0362,3.5946e-02,0.0721,1.6990e-02,1
12,10,1.0,9.9725e-01,7.1924e-02,0.0721,1.4314e-01,0.1435,6.8294e-02,1
12,10,2.0,1.9947e+00,2.8460e-01,0.1427,5.6207e-01,0.2818,2.7789e-01,1
12,1000,0.05,4.9861e-02,1.8924e-04,0.0038,3.5987e-04,0.0072,6.4959e-04,1
12,1000,0.1,9.9722e-02,7.5698e-04,0.0076,1.4395e-03,0.0144,2.5988e-03,1
12,1000,0.25,2.4930e-01,4.7305e-03,0.0190,8.9953e-03,0.0361,1.6258e-02,1
12,1000,0.5,4.9861e-01,1.8907e-02,0.0379,3.5946e-02,0.0721,6.5180e-02,1
12,1000,1.0,9.9725e-01,7.5353e-02,0.0756,1.4314e-01,0.1435,2.6258e-01,1
12,1000,2.0,1.9947e+00,2.9681e-01,0.1488,5.6207e-01,0.2818,1.0763e+00,1
12,100000,0.05,4.9861e-02,1.9237e-04,0.0039,3.5987e-04,0.0072,3.7096e-03,1
12,100000,0.1,9.9722e-02,7.6945e-04,0.0077,1.4395e-03,0.0144,1.4597e-02,1
12,100000,0.25,2.4930e-01,4.8086e-03,0.0193,8.9953e-03,0.0361,9.1517e-02,1
12,100000,0.5,4.9861e-01,1.9219e-02,0.0385,3.5946e-02,0.0721,3.6741e-01,1
12,100000,1.0,9.9725e-01,7.6587e-02,0.0768,1.4314e-01,0.1435,1.4852e+00,1
12,100000,2.0,1.9947e+00,3.0149e-01,0.1511,5.6207e-01,0.2818,6.1461e+00,1
