regime,n,metric,paired_draws,mean_improvement_percent,median_improvement_percent,improvement_q25,improvement_q75,median_ci025,median_ci975,rfd_win_percent
B0,512,loading projector,32,60.52573685227913,67.35270921270262,50.487075276976434,79.79033400920346,56.61056676820975,75.47549684460994,93.75
B0,512,factor scores,32,-104.05007094310979,-94.27790451268444,-140.29912772575284,-66.88686170444173,-122.6882620069496,-84.55026913161623,0.0
B0,512,observation reconstruction,32,18.23426468832567,17.505824927552865,13.353395094295651,23.92576815863596,15.75399873959893,22.18686634216292,100.0
B0,512,latent-signal reconstruction,32,25.060720635501685,24.43844015831935,18.862294090885754,32.158348286923065,22.617119591255545,29.623712010570703,100.0
B0,2048,loading projector,32,83.0859695693621,87.84209186550757,82.91410034610664,90.25131333095015,85.44860132830198,89.504590144615,96.875
B0,2048,factor scores,32,-26.272560611358198,-23.35726499586929,-40.6426022010955,-8.483019826890333,-31.122187238044173,-15.308674875991475,6.25
B0,2048,observation reconstruction,32,18.502575325808166,20.925743408741344,13.114064821631812,22.583964245683788,18.14090393625879,22.23397482841431,100.0
B0,2048,latent-signal reconstruction,32,27.92815318147434,31.4477515077537,22.4563912329086,34.59585710403038,26.80878026778586,33.88463084951894,100.0
B0,8192,loading projector,32,94.3776181400405,95.50726650530315,93.26585913019305,97.27481517524055,94.14504564198651,96.83434095359034,100.0
B0,8192,factor scores,32,8.620286236308909,10.214521176257641,3.5479279799620596,16.653902821669988,6.41276303844596,15.040629027459701,78.125
B0,8192,observation reconstruction,32,20.08246469894292,21.396415064588233,16.40897691454914,24.82646082490832,17.713626998407406,23.828004680278596,100.0
B0,8192,latent-signal reconstruction,32,30.443933103783777,32.15301945678152,24.56163877472316,38.52610236999117,26.976056918836026,36.83107733883206,100.0
C0,512,loading projector,32,-62.37924487345802,-47.31510898709503,-92.83680612595735,-13.087606661458949,-58.0327477185295,-15.8596360394663,9.375
C0,512,factor scores,32,-169.3130359204272,-162.24819713999403,-215.51258582144968,-136.22365704660797,-201.112271219296,-147.4854000407101,0.0
C0,512,observation reconstruction,32,-2.694785652177883,-2.7134409278003266,-3.646507744224502,-1.883087153483951,-3.270479282003264,-2.052228395977126,0.0
C0,512,latent-signal reconstruction,32,-7.214252165257719,-6.647886213983796,-9.126244806189092,-4.946132568690938,-8.582135078712714,-5.676633952932674,0.0
C0,2048,loading projector,32,-22.29844843563008,-22.09813795449867,-40.01738714318239,-4.110765474405455,-28.833636297725857,-9.988574279010168,21.875
C0,2048,factor scores,32,-73.08703018345517,-73.04352272617095,-85.5404527293409,-60.44417429136299,-81.94369365134172,-64.18795620752728,0.0
C0,2048,observation reconstruction,32,-0.6511707475352251,-0.647592566624341,-0.7404737534435286,-0.5454001958478615,-0.679319580015909,-0.5841982511939585,0.0
C0,2048,latent-signal reconstruction,32,-2.2518155291914947,-2.37507078305752,-2.7849667591472254,-1.6056708918329956,-2.5765545016565174,-1.851749799877448,0.0
C0,8192,loading projector,32,-11.237349138448646,-7.201522205717245,-21.02176400639426,4.619511288233187,-18.909220077563614,2.18014373512966,37.5
C0,8192,factor scores,32,-26.379830532979394,-24.158274672300223,-32.75203141387021,-20.891549815388963,-26.487396060032644,-21.45708987430526,0.0
C0,8192,observation reconstruction,32,-0.14816775859442663,-0.14733899162303996,-0.18202740646178114,-0.12081126359369887,-0.1726587233644601,-0.12631806316283387,0.0
C0,8192,latent-signal reconstruction,32,-0.6406214770842729,-0.626475230570352,-0.7134273226039302,-0.530476448416918,-0.6930377060058164,-0.5893632707692884,0.0
C1,512,loading projector,0,,,,,,,
C1,512,factor scores,0,,,,,,,
C1,512,observation reconstruction,32,17.171258843457828,17.04050130905457,16.316182770221328,17.847518389354075,16.629691082452045,17.63397649329659,100.0
C1,512,latent-signal reconstruction,32,59.48065030512899,59.11219089489083,56.02824216679493,63.40020998638623,56.940731710175626,62.304100069137874,100.0
C1,2048,loading projector,0,,,,,,,
C1,2048,factor scores,0,,,,,,,
C1,2048,observation reconstruction,32,19.13282320091502,19.240352513553685,18.825311147421296,19.478378221343043,19.051895355393135,19.445868738992722,100.0
C1,2048,latent-signal reconstruction,32,79.426364949461,79.25008596753761,78.22056596446946,80.75884568342741,78.45884002194721,80.16156069134377,100.0
C1,8192,loading projector,0,,,,,,,
C1,8192,factor scores,0,,,,,,,
C1,8192,observation reconstruction,32,19.526427149501057,19.496591340408337,19.406690554334478,19.67617711643919,19.439285103755374,19.569226303682534,100.0
C1,8192,latent-signal reconstruction,32,89.01172540119042,89.11756230453241,88.55401269414106,89.35072191889262,88.85145735142726,89.32891064900876,100.0
