"case","tag","m","cond","d2_parent","d2_imag","X","Y"
1,"generic",3,10,1.83977748476982,0," 3.0521551785098882;-1.4826949687075004; 1.9876583927803066;-1.4826949687075004; 2.0738664305491605;-1.3098020575807432; 1.9876583927803069;-1.3098020575807432; 9.0362560511093353"," 6.96682510402590083;-2.72386571770583430; 3.12753237732690259;-2.72386571770583430; 2.69072936838997467;-0.51428882890878924; 3.12753237732690259;-0.51428882890878924; 4.50472318775250535"
2,"identical",3,10,1.77635683940025e-14,0," 2.18406145348226488; 0.43418032546320018; 0.98674774130373466; 0.43418032546320029; 8.34589225527039602;-3.24482768593553939; 0.98674774130373466;-3.24482768593553939; 3.63232395141572040"," 2.18406145348226488; 0.43418032546320018; 0.98674774130373466; 0.43418032546320029; 8.34589225527039602;-3.24482768593553939; 0.98674774130373466;-3.24482768593553939; 3.63232395141572040"
3,"near",3,10,6.08935124546406e-12,0," 2.18406145348226488; 0.43418032546320018; 0.98674774130373466; 0.43418032546320029; 8.34589225527039602;-3.24482768593553939; 0.98674774130373466;-3.24482768593553939; 3.63232395141572040"," 2.18406105837919773; 0.43418540534576144; 0.98674306663373301; 0.43418540534576155; 8.34589196608536810;-3.24482932161043802; 0.98674306663373301;-3.24482932161043802; 3.63232712850682926"
4,"generic",3,1000,140.403764522377,0," 502.84362884218893;-342.07286094621554; 361.04472949320893;-342.07286094621554; 237.26992368545527;-236.17402936946050; 361.04472949320893;-236.17402936946053; 292.50922407403942"," 216.29801546561276;-262.38110535966348; 288.99132524986106;-262.38110535966348; 401.99188407400419;-397.63507113362135; 288.99132524986112;-397.63507113362141; 414.33287706206664"
5,"identical",3,1000,NA,NA,"269.1267923190051761; 22.7149947063040791;418.7768571726238065; 22.7149947063040791;  8.7739704420958127; 59.6213667547300901;418.7768571726238633; 59.6213667547300901;754.7220138405823491","269.1267923190051761; 22.7149947063040791;418.7768571726238065; 22.7149947063040791;  8.7739704420958127; 59.6213667547300901;418.7768571726238633; 59.6213667547300901;754.7220138405823491"
6,"near",3,1000,1.28084138850681e-08,0,"269.1267923190051761; 22.7149947063040791;418.7768571726238065; 22.7149947063040791;  8.7739704420958127; 59.6213667547300901;418.7768571726238633; 59.6213667547300901;754.7220138405823491","269.1263445572527644; 22.7147066401497000;418.7768986189903444; 22.7147066401497000;  8.7743389427264926; 59.6212481798873171;418.7768986189904012; 59.6212481798873171;754.7213303218259171"
7,"generic",3,1e+05,13875.6316471095,0," 1455.7792741903993; 7625.5414724060811; 7885.8846561363835; 7625.5414724060802;46527.1184161492638;49262.8345510588115; 7885.8846561363844;49262.8345510588188;52334.3300756771787","10155.256411848688;13010.882333518997;27257.371129820120;13010.882333518997;16964.636222117224;34834.087727513426;27257.371129820116;34834.087727513426;73197.335132050954"
8,"identical",3,1e+05,2.2302265278995e-07,0,"  3837.6131298326472; 15141.6059773913166;-10585.1294492166980; 15141.6059773913166; 65243.6157269686883;-45112.7992448837904;-10585.1294492166999;-45112.7992448837904; 31235.9989092155120","  3837.6131298326472; 15141.6059773913166;-10585.1294492166980; 15141.6059773913166; 65243.6157269686883;-45112.7992448837904;-10585.1294492166999;-45112.7992448837904; 31235.9989092155120"
9,"near",3,1e+05,0.000878945167642087,0,"  3837.6131298326472; 15141.6059773913166;-10585.1294492166980; 15141.6059773913166; 65243.6157269686883;-45112.7992448837904;-10585.1294492166999;-45112.7992448837904; 31235.9989092155120","  3837.6599089629781; 15141.5912222288971;-10585.1361793358101; 15141.5912222288971; 65243.5916513996053;-45112.7745289483355;-10585.1361793358119;-45112.7745289483355; 31236.0729659935023"
10,"generic",12,10,11.2533667165955,0," 3.168948595485895581; 0.227021208862027812; 0.632866958283866521;-0.028900720502972155;-0.104643246280588742;-1.228982008227336831;-0.209526553974413554; 0.465020927468018874;-1.529668019906423648; 0.665454566889848498; 0.210786798602998926;-0.463770745160642817; 0.227021208862027646; 3.674135422426415332;-0.632621431469720830; 0.215898423506316356; 0.436482676759144983;-0.765203238307326838;-0.524520748764379929; 0.631351777495380073; 0.190140694333351346;-0.473228389300186014; 0.190806474653716529; 0.548994821274373823; 0.632866958283866521;-0.632621431469720941; 2.919512646356627439;-0.568264050477244487;-0.727571443840863030;-0.178788142178742282; 0.514658379781355979; 0.034197320469539050;-0.824048000316123241; 1.130596411404460211; 0.132030904500699653;-0.212140155946189402;-0.028900720502972099; 0.215898423506316356;-0.568264050477244487; 4.427522978829405709; 1.225267740955554796;-0.363556815299521219;-1.454582574597266698;-1.592752588681768167;-0.274208740276023377; 0.528637236041173519; 0.503161135953257288; 0.744097730659405543;-0.104643246280589075; 0.436482676759144983;-0.727571443840863141; 1.225267740955554574; 4.017795398064260226;-0.176911468394329363;-1.492817643763836966;-0.126215165348868563;-0.695601375052617765; 0.248995592899756979;-0.143926754374559596; 1.261597113152651994;-1.228982008227336831;-0.765203238307326838;-0.178788142178742226;-0.363556815299521219;-0.176911468394329252; 2.970400810082995502; 0.806372843284677288;-0.064485002078375930; 0.616953752773935271;-0.309635372988354862;-0.746025470938183499; 0.548203709808499418;-0.209526553974413554;-0.524520748764380040; 0.514658379781355868;-1.454582574597266920;-1.492817643763836966; 0.806372843284677399; 4.958648633308987641;-1.934348548744253771; 1.097350976822223600;-1.445757269748905838;-1.352241905573447589; 0.314547698983428103; 0.465020927468018763; 0.631351777495380073; 0.034197320469539133;-1.592752588681768167;-0.126215165348868785;-0.064485002078375819;-1.934348548744253993; 5.051978321478050482;-1.295654393694816164; 0.901700223449048655; 0.518391636383407683;-1.023714195691545203;-1.529668019906423426; 0.190140694333351234;-0.824048000316123019;-0.274208740276023377;-0.695601375052617765; 0.616953752773935160; 1.097350976822223156;-1.295654393694816164; 4.544885094143591431;-1.557090055110401439;-0.195743657779573810;-0.914054410481042190; 0.665454566889848276;-0.473228389300185792; 1.130596411404460211; 0.528637236041173630; 0.248995592899756979;-0.309635372988354973;-1.445757269748905616; 0.901700223449048655;-1.557090055110401439; 3.036685573917539571;-0.150710229963895603; 0.680211317301209539; 0.210786798602998815; 0.190806474653716529; 0.132030904500699653; 0.503161135953257288;-0.143926754374559596;-0.746025470938183721;-1.352241905573447367; 0.518391636383407461;-0.195743657779573588;-0.150710229963895603; 4.678082680129154625;-1.025130186273624622;-0.463770745160642761; 0.548994821274373712;-0.212140155946189402; 0.744097730659405543; 1.261597113152652216; 0.548203709808499418; 0.314547698983428214;-1.023714195691544981;-0.914054410481042301; 0.680211317301209539;-1.025130186273624844; 5.203437460528471448"," 4.3733307032210326781;-0.6839373583341781249; 0.2842598206444936215; 0.5366882359368910782;-0.0534292340866606708; 1.4798767451533847428;-0.7263536511936429241; 0.7402069193249505297;-1.6352401527024493788; 1.1065286156350930824; 0.5399769858464396055; 0.1890950328195979135;-0.6839373583341783469; 2.6323676979019756672;-0.3130019243849848642;-0.0081402785472992883; 0.1395442599560609009;-0.2389075163733839768; 0.3291520184726959286; 0.1017785419884761899; 0.5378828849739920592;-0.2712238178311970893; 0.2649298748008566129;-0.4772584519147969884; 0.2842598206444938436;-0.3130019243849849753; 3.4506611094559360708;-0.0646656344683991524;-1.3984073699068115815; 0.2153408762493106421; 0.5238265350970418011;-0.4590227025740518663; 0.0641652945097179739;-1.2111704277164216936; 0.8474958356929871428; 0.4045269484105901703; 0.5366882359368913002;-0.0081402785472993403;-0.0646656344683992079; 3.5185442689758348322;-0.8049453593894408954; 0.0667627627641093346; 0.1886738491934767392; 0.0609503579586833794; 0.2032545941569265102; 0.7025874797331316257; 0.1356732351622247645;-0.6256759819837538483;-0.0534292340866602267; 0.1395442599560609009;-1.3984073699068115815;-0.8049453593894406733; 4.4646501905330815418; 1.2786922854146178796;-0.1071201213158603505; 0.1101672033974083476;-1.1948468081259493445; 1.8213829352714183685;-0.5358482408966450672;-0.5154320994787582322; 1.4798767451533845207;-0.2389075163733839768; 0.2153408762493107531; 0.0667627627641093624; 1.2786922854146176576; 4.0243236146662502151;-0.6100909973636413630;-0.0158343168399299739;-1.7588411993481445350; 1.0321179876492689864; 0.3597657197348859692; 0.7642789635114248803;-0.7263536511936429241; 0.3291520184726959286; 0.5238265350970419121; 0.1886738491934767392;-0.1071201213158602394;-0.6100909973636414740; 3.1843367671406697106; 1.4288379540756639408;-0.9368779706816139363;-0.0112018961282840113;-0.1855986487547116870;-0.2021265652022686821; 0.7402069193249505297; 0.1017785419884761899;-0.4590227025740518663; 0.0609503579586833447; 0.1101672033974083476;-0.0158343168399299739; 1.4288379540756639408; 7.4892039153801812645; 0.1108529816671029455;-0.7750385953605982703;-0.1027618758345077710; 0.0700592926141002104;-1.6352401527024493788; 0.5378828849739919482; 0.0641652945097179739; 0.2032545941569265657;-1.1948468081259491225;-1.7588411993481445350;-0.9368779706816139363; 0.1108529816671029455; 4.7213726519562371209;-1.7006706753564582169; 0.6536637209684935668;-0.5621748049547302672; 1.1065286156350930824;-0.2712238178311970893;-1.2111704277164219157; 0.7025874797331315147; 1.8213829352714183685; 1.0321179876492692085;-0.0112018961282839558;-0.7750385953605982703;-1.7006706753564582169; 4.6418825054317220946; 0.1363006105479582231;-1.4032097908195957370; 0.5399769858464397165; 0.2649298748008565574; 0.8474958356929871428; 0.1356732351622246535;-0.5358482408966451782; 0.3597657197348859692;-0.1855986487547117147;-0.1027618758345078126; 0.6536637209684936778; 0.1363006105479582231; 2.7002145750093187182;-0.3546820015153057670; 0.1890950328195980246;-0.4772584519147970994; 0.4045269484105900593;-0.6256759819837538483;-0.5154320994787582322; 0.7642789635114247693;-0.2021265652022687376; 0.0700592926141002104;-0.5621748049547303783;-1.4032097908195957370;-0.3546820015153057115; 3.4511456150791581798"
